Calendar days since BOC,187,,,,,,
Core Burnup [MWD/MT],2162.5,,,,,,
Inlet Coolant Temperature [F],561.375,,,,,,
,,,,,,,
Data Pass,Power [MWt],Boron [ppm],CRA [steps withdrawn],CRB [steps withdrawn],CRC [steps withdrawn],CRD [steps withdrawn],CRE [steps withdrawn]
0,3411.7,622.,228.,228.,228.,200.,230.
1,3403.0,620.,228.,228.,228.,200.,230.
2,3407.5,619.,228.,228.,228.,198.,230.
3,3411.3,619.,228.,228.,228.,198.,230.
4,3405.6,617.,228.,228.,228.,197.,230.
5,3411.9,641.,228.,228.,228.,197.,230.
6,3407.9,620.,228.,228.,228.,197.,230.
7,3410.1,620.,228.,228.,228.,197.,230.
8,3402.0,619.,228.,228.,228.,197.,230.
9,3405.9,619.,228.,228.,228.,197.,230.
10,3406.2,622.,228.,228.,228.,196.,230.
11,3413.8,622.,228.,228.,228.,194.,230.
12,3423.5,620.,228.,228.,228.,194.,230.
13,3422.3,614.,228.,228.,228.,192.,230.
,,,,,,,
Average Power [MWt],3410.1928571428575,,,,,,
Average Boron [ppm],621.0,,,,,,
