Detector Measurements,,,,Tilt Corrected,,,,,
Detector Location,Detector Data,Simulate Data,Difference,Detector Location,Detector Data,Simulate Data,Difference,MPACT Data,Difference
J1,0.7993736234998375,0.799660568082,0.000286944581848,L1,0.534700259487,0.52584943637,-0.00885082311665,,
F1,0.7250559773201405,0.714653387791,-0.0104025895287,K1,0.738410180103,0.726555328115,-0.0118548519882,,
N2,0.5125235917366161,0.504112348235,-0.00841124350246,J1,0.811809673361,0.811855332106,4.56587451391e-05,,
K2,0.9781040351824747,1.03590145284,0.0577974176607,H1,0.781328622209,0.801820037519,0.0204914153099,,
H2,0.991152368547562,0.998340140621,0.00718777207334,G1,0.811809673361,0.809848273189,-0.0019614001723,,
H3,1.008098603677692,1.02403998583,0.0159413821455,F1,0.738410180103,0.725551798656,-0.012858381447,,
F3,1.075980324927763,1.04875137544,-0.0272289494852,E1,0.534700259487,0.52584943637,-0.00885082311665,,
D3,1.05104725227141,1.04677446428,-0.00427278799475,N2,0.519645076506,0.511800023948,-0.00784505255775,,
B3,0.5139696236467632,0.504112348235,-0.00985727541246,M2,0.80682400471,0.809848273189,0.00302426847869,,
P4,0.7852303522976669,0.797683656912,0.0124533046143,K2,1.0343232521,1.05169887274,0.0173756206407,,
N4,1.048752159512178,1.04677446428,-0.00197769523475,J2,1.03333047765,1.03865298978,0.00532251212732,,
H4,1.107235640630028,1.11102407729,0.00378843665553,H2,1.00127577696,1.01356475331,0.0122889763493,,
L5,1.263775999607849,1.24940785915,-0.0143681404562,G2,1.03333047765,1.03263181302,-0.00069866462501,,
G5,1.164085937342305,1.16242376769,-0.00166216964624,F2,1.0343232521,1.04969181382,0.0153685617233,,
E5,1.292727237377484,1.24940785915,-0.0433193782262,D2,0.80682400471,0.809848273189,0.00302426847869,,
C5,1.207284997172514,1.18416979056,-0.0231152066112,C2,0.519645076506,0.511800023948,-0.00784505255775,,
N6,1.051516157324976,1.04875137544,-0.0027647818752,P3,0.519645076506,0.511800023948,-0.00784505255775,,
K6,1.187789458634141,1.19603125758,0.00824179894606,N3,0.89659664384,0.910201219061,0.0136045752209,,
H6,0.997389355531652,1.03985527518,0.0424659196498,M3,1.07078457795,1.06273769679,-0.00804688116335,,
B6,1.044152889834118,1.03590145284,-0.00825143698726,L3,1.2119720473,1.20222829155,-0.00974375575098,,
M7,1.070925397184985,1.06654357597,-0.00438182120928,K3,1.08546833111,1.06675181462,-0.0187165164885,,
J7,1.0242061980864,1.04084373077,0.0166375326766,J3,1.14773808035,1.14803770078,0.000299620428026,,
F7,1.054326033385427,1.06061284246,0.00628680907208,H3,1.03505680136,1.03965651924,0.00459971787604,,
