Cycle 1
Day,Percent Rated Power
0.0,1.598205
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,1.525355
6.0,1.99135
7.0,0.6898523
8.0,1.281925
9.0,0.2943523
10.0,4.23386
11.0,11.97187
12.0,11.73
14.0,9.171273
15.0,18.41759
17.0,19.81665
18.0,13.9005
20.0,14.43885
21.0,0.0
22.0,5.938501
23.0,20.01193
24.0,27.43808
25.0,29.822
26.0,10.39601
27.0,2.974145
28.0,1.782045
29.0,10.95948
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.7329198
37.0,0.0
40.0,0.0
41.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.7483967
48.0,10.81562
49.0,26.01002
50.0,31.04997
51.0,28.97725
52.0,27.73991
53.0,30.51975
54.0,30.05231
55.0,29.63219
56.0,29.5247
57.0,32.51305
58.0,48.02448
59.0,48.06892
60.0,47.99367
61.0,47.56118
62.0,5.857397
63.0,12.93516
64.0,47.394
65.0,48.53383
66.0,48.0434
67.0,23.20405
68.0,39.33459
69.0,48.18467
70.0,46.56192
71.0,44.89457
72.0,45.31305
73.0,48.04033
74.0,49.42733
75.0,61.86532
76.0,48.67527
77.0,63.97869
78.0,74.45881
79.0,74.9779
80.0,74.9779
81.0,74.8779
82.0,74.10209
83.0,57.92496
84.0,73.65544
85.0,85.9185
86.0,85.24719
87.0,88.05773
88.0,90.56831
89.0,91.11437
90.0,92.57048
91.0,90.2395
92.0,0.7391398
93.0,38.13273
94.0,20.08104
95.0,36.62518
96.0,95.98182
97.0,98.98721
98.0,41.77224
99.0,0.0
109.0,0.0
110.0,0.0
111.0,0.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,0.0
116.0,0.0
117.0,0.0
118.0,0.0
119.0,0.0
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,0.0
126.0,0.0
127.0,0.0
128.0,0.0
129.0,0.0
130.0,0.0
131.0,0.0
132.0,0.0
133.0,0.0
134.0,0.0
135.0,0.0
136.0,0.0
137.0,0.0
138.0,0.0
139.0,0.0
140.0,0.0
141.0,0.0
142.0,0.0
143.0,0.0
144.0,0.0
145.0,0.0
146.0,0.0
147.0,0.0
148.0,0.0
149.0,0.3006584
150.0,0.9761743
151.0,24.21784
152.0,59.47511
153.0,2.952592
154.0,0.0
155.0,3.547795
156.0,19.8735
157.0,38.82519
158.0,64.64112
159.0,64.15624
160.0,63.97426
161.0,64.09499
162.0,31.40087
163.0,48.88891
164.0,90.55626
165.0,100.0
166.0,98.82449
167.0,100.0
168.0,96.49099
169.0,100.0
170.0,100.0
171.0,100.0
172.0,100.0
173.0,100.0
174.0,96.46134
175.0,95.41942
176.0,81.7012
177.0,98.94163
178.0,100.0
179.0,100.0
